Method,gov_report,hotpotqa,lcc,qasper,Average,Peak GPU (GB),KV Cache (MB),Avg Latency (s),Avg Prefill Latency (s),Avg Decode Latency (s),Max Prefill Latency (s),Max Decode Latency (s),Throughput (tok/s),Profiled TFLOPs,Profiled TFLOPs/s
baseline,32.87,42.77,55.86,32.99,41.12,25.93,12223.1,7.931,0.854,7.276,2.959,93.611,14.59,169.639661,6.816846
snapkv_static,30.52,42.31,55.98,33.38,40.55,21.87,8071.6,6.050,0.879,5.205,3.012,89.932,15.07,169.902572,5.913721
quest_static,31.18,41.39,55.63,33.11,40.33,21.87,8071.6,5.787,0.888,5.289,3.057,111.505,16.23,170.151672,6.910643
clusterattn_static,30.30,42.69,55.82,33.19,40.50,26.70,13017.7,7.117,1.012,5.364,3.272,129.804,14.32,170.492271,4.954475
clusterattn_quest_bounds_static,30.52,42.17,55.58,33.53,40.45,26.70,13017.7,6.338,1.067,6.056,3.331,148.881,15.65,170.336097,4.957190
clusterattn_snapkv_static,30.30,42.69,55.82,33.19,40.50,26.70,13017.7,7.528,1.008,6.214,3.276,151.226,13.59,170.492271,4.918249
clusterattn_h2o_static,29.98,40.33,55.86,32.27,39.61,26.70,13017.4,5.982,0.991,5.404,3.270,78.564,16.31,169.741290,5.596986
clusterattn_recon_static,30.48,42.10,56.21,33.47,40.56,26.70,13017.2,5.619,0.994,4.869,3.302,72.350,17.41,169.579216,5.526775
clusterattn_expected_attention_static,30.20,42.18,55.78,32.51,40.17,26.70,13017.4,5.612,1.001,4.925,3.285,111.118,15.75,169.962325,5.044586
clusterattn_random_static,22.03,24.84,54.59,29.85,32.83,26.70,13017.4,8.392,0.973,7.501,3.239,169.351,15.51,170.624572,5.590876
pagekv_quest_bounds_static,31.18,41.39,55.63,33.11,40.33,26.70,13017.2,6.107,0.887,5.754,3.139,118.087,16.63,170.151672,7.229063
pagekv_snapkv_static,30.91,42.40,55.68,32.93,40.48,26.70,13017.2,7.024,0.884,6.249,3.145,147.268,14.64,170.481604,7.307567
pagekv_h2o_static,29.92,42.64,55.63,32.47,40.16,26.70,13017.2,5.692,0.903,5.507,3.171,139.668,16.93,170.498640,7.203542
pagekv_recon_static,29.45,37.78,56.01,30.24,38.37,26.70,13017.2,7.222,0.891,5.538,3.177,128.231,16.07,170.560570,7.363918
pagekv_expected_attention_static,29.91,42.53,55.70,31.62,39.94,26.70,13017.2,5.169,0.900,4.576,3.181,81.564,16.76,169.731259,7.042706
pagekv_random_static,23.73,28.94,54.63,31.54,34.71,26.70,13017.2,7.086,0.881,5.735,3.129,134.320,16.86,170.637017,7.399508
tokenkv_quest_bounds_static,29.76,41.91,55.82,32.97,40.12,26.70,13017.7,6.312,0.868,4.883,3.087,114.879,15.31,170.318319,6.817918
tokenkv_snapkv_static,30.34,42.52,55.79,33.01,40.41,26.70,13017.7,5.813,0.901,4.071,3.162,105.885,17.61,170.531383,8.003653
tokenkv_h2o_static,30.03,40.08,55.86,32.27,39.56,26.70,13017.7,5.579,0.883,5.458,3.119,76.120,17.75,169.741290,8.453359
tokenkv_recon_static,30.48,42.10,56.21,33.47,40.56,26.70,13017.2,6.091,0.877,5.910,3.114,78.809,16.25,169.579216,7.350226
tokenkv_expected_attention_static,30.66,41.64,55.94,32.90,40.28,26.70,13017.4,5.468,0.880,4.969,3.071,122.082,17.05,170.319666,7.297842
tokenkv_random_static,22.03,24.84,54.59,29.85,32.83,26.70,13017.7,7.289,0.872,6.818,3.086,147.864,17.14,170.624572,7.278433
