Method,gov_report,hotpotqa,lcc,qasper,Average,Peak GPU (GB),KV Cache (MB),Avg Latency (s),Throughput (tok/s),Profiled TFLOPs,Profiled TFLOPs/s
baseline,42.77,32.87,55.86,32.99,41.12,25.93,12223,3.17,7.733,169.6396617,1.041622
snapkv_static,42.31,30.52,55.98,33.38,40.55,21.87,8071.6,6.017,14.6,169.9025724,28.252
quest_static,41.39,31.18,55.63,33.11,40.33,21.87,8071.6,5.396,17.25,170.1516727,27.350395
clusterattn_static,42.69,30.30,55.82,33.19,40.50,21.87,8071.6,7.856,13.9,170.4922714,14.64913
clusterattn_quest_bounds_static,42.17,30.52,55.58,33.53,40.45,21.87,8071.6,5.552,17.3,170.3360974,33.747
clusterattn_snapkv_static,42.69,30.30,55.82,33.19,40.50,21.87,8071.6,7.834,13.38,170.4922714,14.747719
clusterattn_h2o_static,40.33,29.98,55.86,32.27,39.61,21.87,8071.6,5.569,17.09,169.741295,15.114582
clusterattn_recon_static,42.10,30.48,56.21,33.47,40.56,21.87,8071.6,5.374,18.24,169.5792165,15.083752
clusterattn_expected_attention_static,42.12,30.16,55.78,32.48,40.13,21.87,8071.6,5.298,16.75,169.8271995,15.472103
clusterattn_random_static,23.45,22.13,54.88,28.90,32.34,21.87,8071.6,8.309,15.88,170.6245725,15.295625
pagekv_quest_bounds_static,41.39,31.18,55.63,33.11,40.33,21.87,8071.6,5.574,16.84,170.1516726,26.64543
pagekv_snapkv_static,42.40,30.91,55.68,32.93,40.48,21.87,8071.6,6.915,14.42,170.4816047,27.693576
pagekv_h2o_static,42.64,29.92,55.63,32.47,40.16,21.87,8071.6,4.974,18.73,170.498646,26.861369
pagekv_recon_static,37.78,29.45,56.01,30.24,38.37,21.87,8071.6,8.015,14.98,170.560576,26.746171
pagekv_expected_attention_static,42.32,29.45,55.56,32.05,39.84,21.87,8071.6,4.864,17.26,169.6743066,26.91476
pagekv_random_static,28.36,24.02,54.52,31.14,34.51,21.87,8071.6,7.556,17.37,170.6316837,27.261989
tokenkv_quest_bounds_static,41.91,29.76,55.82,32.97,40.12,21.87,8071.6,6.873,14.34,170.3183195,26.544338
tokenkv_snapkv_static,42.52,30.34,55.79,33.01,40.41,21.87,8071.6,6.654,17.07,170.5313839,29.015235
tokenkv_h2o_static,40.08,30.03,55.86,32.27,39.56,21.87,8071.6,4.818,19.54,169.741299,29.276461
tokenkv_recon_static,42.10,30.48,56.21,33.47,40.56,21.87,8071.6,5.396,17.56,169.5792167,27.467223
tokenkv_expected_attention_static,41.95,30.51,55.91,32.98,40.34,21.87,8071.6,5.087,18.6,170.1863187,27.548452
tokenkv_random_static,23.45,22.13,54.88,28.90,32.34,21.87,8071.6,6.889,16.75,170.6245726,26.89309
